transaction_id,timestamp,employee_id,vendor_id,merchant_category,mcc_code,amount,employee_approval_limit,dest_bank_account_hash,device_ip,is_fraud,fraud_type
TXN_100000,2026-01-11 10:46:00,EMP_5014,VEND_1030,CONSULTING_SERVICES,7392,713.9,25000,BANK_HASH_05658128,139.18.39.178,0,LEGITIMATE
TXN_100001,2026-01-17 12:42:00,EMP_5017,VEND_1097,CONSULTING_SERVICES,7392,4525.18,5000,BANK_HASH_099bcee7,150.217.80.247,0,LEGITIMATE
TXN_100002,2026-03-10 03:27:00,EMP_5140,VEND_1021,TRAVEL_FLIGHTS,4511,1985.12,10000,BANK_HASH_676b9269,113.36.227.71,0,LEGITIMATE
TXN_100003,2026-02-09 20:42:00,EMP_5138,VEND_1096,IT_HARDWARE,5732,1379.41,5000,BANK_HASH_8c3c207a,43.34.177.70,0,LEGITIMATE
TXN_100004,2026-01-16 15:14:00,EMP_5112,VEND_1066,LUXURY_RETAIL,5944,264.44,5000,BANK_HASH_53f0c83d,34.77.172.93,0,LEGITIMATE
TXN_100005,2026-01-31 02:14:00,EMP_5005,VEND_1075,CONSULTING_SERVICES,7392,11494.09,5000,BANK_HASH_b40b2a40,12.103.216.118,1,GHOST_VENDOR_SELF_DEALING
TXN_100006,2026-01-05 18:04:00,EMP_5015,VEND_1029,OFFICE_SUPPLIES,5111,99.76,10000,BANK_HASH_01729b61,25.179.184.19,0,LEGITIMATE
TXN_100007,2026-01-29 01:08:00,EMP_5071,VEND_1085,LUXURY_RETAIL,5944,3026.85,10000,BANK_HASH_0b98d3c9,20.244.81.64,0,LEGITIMATE
TXN_100008,2026-02-01 23:51:00,EMP_5146,VEND_1073,LUXURY_RETAIL,5944,1388.62,5000,BANK_HASH_70d8cd87,49.228.91.43,0,LEGITIMATE
TXN_100009,2026-02-15 21:26:00,EMP_5024,VEND_1012,LUXURY_RETAIL,5944,1856.88,25000,BANK_HASH_d1506ef2,148.8.38.151,0,LEGITIMATE
TXN_100010,2026-01-08 20:46:00,EMP_5186,VEND_1006,OFFICE_SUPPLIES,5111,41.2,5000,BANK_HASH_ad2d1267,111.148.221.193,0,LEGITIMATE
TXN_100011,2026-01-26 01:28:00,EMP_5027,VEND_1031,IT_HARDWARE,5732,5265.34,25000,BANK_HASH_43c40f36,128.99.116.113,0,LEGITIMATE
TXN_100012,2026-02-01 10:28:00,EMP_5046,VEND_1035,LUXURY_RETAIL,5944,2689.64,10000,BANK_HASH_f3f0c3f7,195.49.91.170,0,LEGITIMATE
TXN_100013,2026-03-26 01:53:00,EMP_5140,VEND_1012,LUXURY_RETAIL,5944,2559.58,10000,BANK_HASH_d1506ef2,173.192.145.97,1,MCC_OFFHOURS_MISUSE
TXN_100014,2026-03-03 14:55:00,EMP_5042,VEND_1052,LUXURY_RETAIL,5944,311.02,5000,BANK_HASH_c0083be6,7.20.217.156,0,LEGITIMATE
TXN_100015,2026-01-01 20:16:00,EMP_5015,VEND_1021,LUXURY_RETAIL,5944,313.92,10000,BANK_HASH_676b9269,130.206.51.121,0,LEGITIMATE
TXN_100016,2026-04-01 07:50:00,EMP_5116,VEND_1036,LUXURY_RETAIL,5944,554.13,10000,BANK_HASH_f7300817,155.161.222.146,0,LEGITIMATE
TXN_100017,2026-01-25 17:13:00,EMP_5183,VEND_1062,IT_HARDWARE,5732,1125.89,25000,BANK_HASH_8a61f0cb,56.122.10.100,0,LEGITIMATE
TXN_100018,2026-01-09 07:20:00,EMP_5148,VEND_1094,CONSULTING_SERVICES,7392,858.31,10000,BANK_HASH_e2449756,167.97.202.5,0,LEGITIMATE
TXN_100019,2026-03-09 13:03:00,EMP_5149,VEND_1061,CONSULTING_SERVICES,7392,526.33,25000,BANK_HASH_a44772c9,31.254.140.157,0,LEGITIMATE
TXN_100020,2026-03-18 10:43:00,EMP_5020,VEND_1023,OFFICE_SUPPLIES,5111,1429.56,5000,BANK_HASH_e1e5a1af,208.236.55.192,0,LEGITIMATE
TXN_100021,2026-02-02 02:38:00,EMP_5103,VEND_1015,CONSULTING_SERVICES,7392,235.35,5000,BANK_HASH_73c44eff,41.87.223.230,0,LEGITIMATE
TXN_100022,2026-03-15 00:20:00,EMP_5020,VEND_1053,CONSULTING_SERVICES,7392,528.27,5000,BANK_HASH_9d9a237f,155.57.89.78,0,LEGITIMATE
TXN_100023,2026-01-31 16:25:00,EMP_5052,VEND_1085,TRAVEL_FLIGHTS,4511,694.42,5000,BANK_HASH_0b98d3c9,183.115.221.115,0,LEGITIMATE
TXN_100024,2026-02-10 10:00:00,EMP_5165,VEND_1038,LUXURY_RETAIL,5944,923.4,25000,BANK_HASH_7be46fc4,59.31.49.30,0,LEGITIMATE
TXN_100025,2026-03-10 14:32:00,EMP_5144,VEND_1012,OFFICE_SUPPLIES,5111,2316.9,5000,BANK_HASH_d1506ef2,131.206.113.165,0,LEGITIMATE
TXN_100026,2026-02-17 17:10:00,EMP_5089,VEND_1008,IT_HARDWARE,5732,344.1,5000,BANK_HASH_35be9f45,184.103.37.178,0,LEGITIMATE
TXN_100027,2026-03-21 04:33:00,EMP_5139,VEND_1090,TRAVEL_FLIGHTS,4511,12805.25,25000,BANK_HASH_035f4e10,178.101.30.142,1,GHOST_VENDOR_SELF_DEALING
TXN_100028,2026-01-18 16:07:00,EMP_5076,VEND_1084,OFFICE_SUPPLIES,5111,1356.26,10000,BANK_HASH_e6240d92,5.11.23.108,0,LEGITIMATE
TXN_100029,2026-02-04 17:38:00,EMP_5190,VEND_1070,IT_HARDWARE,5732,81.35,25000,BANK_HASH_da4b56a0,15.53.98.192,0,LEGITIMATE
TXN_100030,2026-03-06 23:16:00,EMP_5087,VEND_1026,TRAVEL_FLIGHTS,4511,1413.0,25000,BANK_HASH_7bd4d1ed,164.81.127.82,0,LEGITIMATE
TXN_100031,2026-02-05 09:00:00,EMP_5013,VEND_1011,LUXURY_RETAIL,5944,290.44,5000,BANK_HASH_e78d0796,159.228.184.123,0,LEGITIMATE
TXN_100032,2026-01-22 07:28:00,EMP_5033,VEND_1081,TRAVEL_FLIGHTS,4511,110.9,25000,BANK_HASH_4023c5f3,205.251.187.64,0,LEGITIMATE
